category_id,name
42110,Bituminous coal
42111,Subbituminous coal
42114,Petroleum coke
42116,Coal
42117,Bituminous coal
42118,Subbituminous coal
42121,Petroleum coke
42130,Coal
42131,Bituminous coal
42132,Subbituminous coal
42135,Petroleum coke
42137,Coal
42138,Bituminous coal
42139,Subbituminous coal
42140,Lignite coal
42142,Petroleum coke
42144,Coal
42145,Bituminous coal
42146,Subbituminous coal
42147,Lignite coal
42149,Petroleum coke
42151,Coal
42152,Bituminous coal
42153,Subbituminous coal
42154,Lignite coal
42156,Petroleum coke
